Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,0,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,0.000125
2.0,2,-0.000402777777778
2.0,3,-0.000458333333333
2.0,4,9.72222222222e-05
2.0,5,0.000180555555556
2.0,6,-0.000347222222222
2.0,7,-0.000375
2.0,8,-0.000402777777778
2.0,9,-0.000402777777778
2.0,10,-0.000319444444444
2.0,11,-0.000319444444444
2.0,12,-0.000263888888889
2.0,13,-0.000319444444444
2.0,14,-0.000291666666667
2.0,15,-0.000319444444444
2.0,16,0.000152777777778
2.0,17,-0.000402777777778
2.0,18,0.000263888888889
2.0,19,-0.000291666666667
2.1,1,0.000697222222222
2.1,2,0.000197222222222
2.1,3,8.61111111111e-05
2.1,4,0.000613888888889
2.1,5,-0.00146944444444
2.1,6,-5.27777777778e-05
2.1,7,-0.000413888888889
2.1,8,-0.00138611111111
2.1,9,-0.00155277777778
2.1,10,-0.00146944444444
2.1,11,-0.000191666666667
2.1,12,0.000113888888889
2.1,13,-0.001525
2.1,14,-0.00135833333333
2.1,15,-0.00116388888889
2.1,16,0.000586111111111
2.1,17,-0.000191666666667
2.1,18,-2.5e-05
2.1,19,0.000502777777778
2.2,1,0.00843055555556
2.2,2,0.00434722222222
2.2,3,-0.00168055555556
2.2,4,-0.00415277777778
2.2,5,-0.00493055555556
2.2,6,-0.00251388888889
2.2,7,-0.003875
2.2,8,-0.00726388888889
2.2,9,-0.00556944444444
2.2,10,-0.00459722222222
2.2,11,-0.00384722222222
2.2,12,-0.004375
2.2,13,-0.00329166666667
2.2,14,-0.00209722222222
2.2,15,-0.00273611111111
2.2,16,-0.00176388888889
2.2,17,-0.000458333333333
2.2,18,0.00418055555556
2.2,19,0.00865277777778
2.3,1,0.00790277777778
2.3,2,0.00209722222222
2.3,3,-0.00184722222222
2.3,4,-0.00445833333333
2.3,5,-0.00359722222222
2.3,6,-0.00418055555556
2.3,7,-0.00309722222222
2.3,8,-0.002125
2.3,9,-0.000736111111111
2.3,10,-0.000208333333333
2.3,11,-0.000930555555556
2.3,12,-0.00365277777778
2.3,13,-0.00223611111111
2.3,14,-0.00345833333333
2.3,15,-0.00373611111111
2.3,16,-0.00495833333333
2.3,17,-0.00251388888889
2.3,18,0.00190277777778
2.3,19,0.00823611111111
2.4,1,0.00693888888889
2.4,2,0.00282777777778
2.4,3,-0.0007
2.4,4,-0.0022
2.4,5,-0.00550555555556
2.4,6,-0.00658888888889
2.4,7,-0.00450555555556
2.4,8,-0.00481111111111
2.4,9,-0.0042
2.4,10,-0.00328333333333
2.4,11,-0.00392222222222
2.4,12,-0.00528333333333
2.4,13,-0.00486666666667
2.4,14,-0.00258888888889
2.4,15,-0.00314444444444
2.4,16,-0.00133888888889
2.4,17,-0.00147777777778
2.4,18,0.00205
2.4,19,0.00818888888889
2.5,1,0.0109916666667
2.5,2,0.00104722222222
2.5,3,-0.00261944444444
2.5,4,-0.00300833333333
2.5,5,-0.00373055555556
2.5,6,-0.004675
2.5,7,-0.005925
2.5,8,-0.00586944444444
2.5,9,-0.00489722222222
2.5,10,-0.00164722222222
2.5,11,-0.00464722222222
2.5,12,-0.00378611111111
2.5,13,-0.00323055555556
2.5,14,-0.00306388888889
2.5,15,-0.00320277777778
2.5,16,-0.002925
2.5,17,-0.000869444444444
2.5,18,0.00260277777778
2.5,19,0.0109083333333
2.6,1,0.0126694444444
2.6,2,0.00553055555556
2.6,3,0.00191944444444
2.6,4,-0.00258055555556
2.6,5,-0.00199722222222
2.6,6,-0.00699722222222
2.6,7,-0.00910833333333
2.6,8,-0.0111638888889
2.6,9,-0.0108861111111
2.6,10,-0.0100805555556
2.6,11,-0.00888611111111
2.6,12,-0.00933055555556
2.6,13,-0.00519166666667
2.6,14,-0.00463611111111
2.6,15,-0.00108055555556
2.6,16,0.000586111111111
2.6,17,0.00500277777778
2.6,18,0.00650277777778
2.6,19,0.0148083333333
